Name of Earth Meteorite,ID of Earth Meteorite,Name Type,Recclass,Mass of Earth Meteorite,Year,Latitude,Longitude,Point Coordinates
Ibbenbüren,11992,Valid,Diogenite,,1870-01-01T00:00:00.000,52.28333,7.7,"[52, 7]"
Ibitira,11993,Valid,Eucrite-mmict,,1957-01-01T00:00:00.000,-20.0,-45.0,"[-20, -45]"
Ibrisim,11994,Valid,OC,,1949-01-01T00:00:00.000,38.0,35.0,"[38, 35]"
Ichkala,11995,Valid,H6,,1936-01-01T00:00:00.000,58.2,82.93333,"[58, 82]"
Idutywa,12000,Valid,H5,,1956-01-01T00:00:00.000,-32.1,28.33333,"[-32, 28]"
Iguaracu,12003,Valid,H5,,1977-01-01T00:00:00.000,-23.2,-51.83333,"[-23, -51]"
Ijopega,12004,Valid,H6,,1975-01-01T00:00:00.000,-6.03333,145.36667,"[-6, 145]"
Indarch,12027,Valid,EH4,,1891-01-01T00:00:00.000,39.75,46.66667,"[39, 46]"
Independence,12028,Valid,L6,,1917-01-01T00:00:00.000,39.08333,-94.4,"[39, -94]"
Inner Mongolia,12037,Valid,L6,,1963-01-01T00:00:00.000,41.0,112.0,"[41, 112]"
Innisfree,12039,Valid,L5,,1977-01-01T00:00:00.000,53.415,-111.3375,"[53, -111]"
Ipiranga,12043,Valid,H6,,1972-01-01T00:00:00.000,-25.5,-54.5,"[-25, -54]"
Ishinga,12049,Valid,H,,1954-01-01T00:00:00.000,-8.93333,33.8,"[-8, 33]"
Isthilart,12053,Valid,H5,,1928-01-01T00:00:00.000,-31.18333,-57.95,"[-31, -57]"
Itapicuru-Mirim,12056,Valid,H5,,1879-01-01T00:00:00.000,-3.4,-44.33333,"[-3, -44]"
Itqiy,12058,Valid,EH7-an,,1990-01-01T00:00:00.000,26.59083,-12.95217,"[26, -12]"
Ivuna,12063,Valid,CI1,,1938-01-01T00:00:00.000,-8.41667,32.43333,"[-8, 32]"
Jackalsfontein,12065,Valid,L6,,1903-01-01T00:00:00.000,-32.5,21.9,"[-32, 21]"
Jajh deh Kot Lalu,12067,Valid,EL6,,1926-01-01T00:00:00.000,26.75,68.41667,"[26, 68]"
Jalanash,12068,Valid,Ureilite,,1990-01-01T00:00:00.000,,,"[None, None]"
