Name of Earth Meteorite,ID of Earth Meteorite,Name Type,Recclass,Mass of Earth Meteorite,Year,Latitude,Longitude,Point Coordinates
Aachen,1,Valid,L5,,1880-01-01T00:00:00.000,50.775,6.08333,"[50, 6]"
Aarhus,2,Valid,H6,,1951-01-01T00:00:00.000,56.18333,10.23333,"[56, 10]"
Abee,6,Valid,EH4,,1952-01-01T00:00:00.000,54.21667,-113.0,"[54, -113]"
Acapulco,10,Valid,Acapulcoite,,1976-01-01T00:00:00.000,16.88333,-99.9,"[16, -99]"
Achiras,370,Valid,L6,,1902-01-01T00:00:00.000,-33.16667,-64.95,"[-33, -64]"
Adhi Kot,379,Valid,EH4,,1919-01-01T00:00:00.000,32.1,71.8,"[32, 71]"
Adzhi-Bogdo (stone),390,Valid,LL3-6,,1949-01-01T00:00:00.000,44.83333,95.16667,"[44, 95]"
Agen,392,Valid,H5,,1814-01-01T00:00:00.000,44.21667,0.61667,"[44, 0]"
Aguada,398,Valid,L6,,1930-01-01T00:00:00.000,-31.6,-65.23333,"[-31, -65]"
Aguila Blanca,417,Valid,L,,1920-01-01T00:00:00.000,-30.86667,-64.55,"[-30, -64]"
Aioun el Atrouss,423,Valid,Diogenite-pm,,1974-01-01T00:00:00.000,16.39806,-9.57028,"[16, -9]"
Aïr,424,Valid,L6,,1925-01-01T00:00:00.000,19.08333,8.38333,"[19, 8]"
Aire-sur-la-Lys,425,Valid,Unknown,,1769-01-01T00:00:00.000,50.66667,2.33333,"[50, 2]"
Akaba,426,Valid,L6,,1949-01-01T00:00:00.000,29.51667,35.05,"[29, 35]"
Akbarpur,427,Valid,H4,,1838-01-01T00:00:00.000,29.71667,77.95,"[29, 77]"
Akwanga,432,Valid,H,,1959-01-01T00:00:00.000,8.91667,8.43333,"[8, 8]"
Akyumak,433,Valid,"Iron, IVA",,1981-01-01T00:00:00.000,39.91667,42.81667,"[39, 42]"
Al Rais,446,Valid,CR2-an,,1957-01-01T00:00:00.000,24.41667,39.51667,"[24, 39]"
Al Zarnkh,447,Valid,LL5,,2001-01-01T00:00:00.000,13.66033,28.96,"[13, 28]"
Alais,448,Valid,CI1,,1806-01-01T00:00:00.000,44.11667,4.08333,"[44, 4]"
Albareto,453,Valid,L/LL4,,1766-01-01T00:00:00.000,44.65,11.01667,"[44, 11]"
Alberta,454,Valid,L,,1949-01-01T00:00:00.000,2.0,22.66667,"[2, 22]"
Alby sur Chéran,458,Valid,Eucrite-mmict,,2002-01-01T00:00:00.000,45.82133,6.01533,"[45, 6]"
Aldsworth,461,Valid,LL5,,1835-01-01T00:00:00.000,51.78333,-1.78333,"[51, -1]"
Aleppo,462,Valid,L6,,1873-01-01T00:00:00.000,36.23333,37.13333,"[36, 37]"
Alessandria,463,Valid,H5,,1860-01-01T00:00:00.000,44.88333,8.75,"[44, 8]"
Alexandrovsky,465,Valid,H4,,1900-01-01T00:00:00.000,50.95,31.81667,"[50, 31]"
Alfianello,466,Valid,L6,,1883-01-01T00:00:00.000,45.26667,10.15,"[45, 10]"
Allegan,2276,Valid,H5,,1899-01-01T00:00:00.000,42.53333,-85.88333,"[42, -85]"
Allende,2278,Valid,CV3,,1969-01-01T00:00:00.000,26.96667,-105.31667,"[26, -105]"
Almahata Sitta,48915,Valid,Ureilite-an,,2008-01-01T00:00:00.000,20.74575,32.41275,"[20, 32]"
Alta'ameem,2284,Valid,LL5,,1977-01-01T00:00:00.000,35.27333,44.21556,"[35, 44]"
Ambapur Nagla,2290,Valid,H5,,1895-01-01T00:00:00.000,27.66667,78.25,"[27, 78]"
Andhara,2294,Valid,Stone-uncl,,1880-01-01T00:00:00.000,26.58333,85.56667,"[26, 85]"
Andover,2295,Valid,L6,,1898-01-01T00:00:00.000,44.61667,-70.75,"[44, -70]"
Andreevka,2296,Valid,L3,,1969-01-01T00:00:00.000,48.7,37.5,"[48, 37]"
Andura,2298,Valid,H6,,1939-01-01T00:00:00.000,20.88333,76.86667,"[20, 76]"
Northwest Africa 5815,50693,Valid,L5,,,0.0,0.0,"[None, None]"
Angers,2301,Valid,L6,,1822-01-01T00:00:00.000,47.46667,-0.55,"[47, 0]"
Angra dos Reis (stone),2302,Valid,Angrite,,1869-01-01T00:00:00.000,-22.96667,-44.31667,"[-22, -44]"
Ankober,2304,Valid,H4,,1942-01-01T00:00:00.000,9.53333,39.71667,"[9, 39]"
Anlong,2305,Valid,H5,,1971-01-01T00:00:00.000,25.15,105.18333,"[25, 105]"
Aomori,2313,Valid,L6,,1984-01-01T00:00:00.000,40.81056,140.78556,"[40, 140]"
Appley Bridge,2318,Valid,LL6,,1914-01-01T00:00:00.000,53.58333,-2.71667,"[53, -2]"
Apt,2320,Valid,L6,,1803-01-01T00:00:00.000,43.86667,5.38333,"[43, 5]"
Arbol Solo,2325,Valid,H5,,1954-01-01T00:00:00.000,-33.0,-66.0,"[-33, -66]"
Archie,2329,Valid,H6,,1932-01-01T00:00:00.000,38.5,-94.3,"[38, -94]"
Arroyo Aguiar,2340,Valid,H5,,1950-01-01T00:00:00.000,-31.41667,-60.66667,"[-31, -60]"
Asco,2345,Valid,H6,,1805-01-01T00:00:00.000,42.45,9.03333,"[42, 9]"
Ash Creek,48954,Valid,L6,,2009-01-01T00:00:00.000,31.805,-97.01,"[31, -97]"
Ashdon,2346,Valid,L6,,1923-01-01T00:00:00.000,52.05,0.3,"[52, 0]"
Assisi,2353,Valid,H5,,1886-01-01T00:00:00.000,43.03333,12.55,"[43, 12]"
Atarra,4883,Valid,L4,,1920-01-01T00:00:00.000,25.25417,80.625,"[25, 80]"
Atemajac,4884,Valid,L6,,1896-01-01T00:00:00.000,20.06667,-103.66667,"[20, -103]"
Athens,4885,Valid,LL6,,1933-01-01T00:00:00.000,34.75,-87.0,"[34, -87]"
Atoka,4888,Valid,L6,,1945-01-01T00:00:00.000,34.31667,-96.15,"[34, -96]"
Aubres,4893,Valid,Aubrite,,1836-01-01T00:00:00.000,44.38333,5.16667,"[44, 5]"
Aumale,4899,Valid,L6,,1865-01-01T00:00:00.000,36.16667,3.66667,"[36, 3]"
Aumieres,4900,Valid,L6,,1842-01-01T00:00:00.000,44.33333,3.23333,"[44, 3]"
Ausson,4903,Valid,L5,,1858-01-01T00:00:00.000,43.08333,0.58333,"[43, 0]"
Avanhandava,4905,Valid,H4,,1952-01-01T00:00:00.000,-21.46028,-49.95083,"[-21, -49]"
Avce,4906,Valid,"Iron, IIAB",,1908-01-01T00:00:00.000,46.0,13.5,"[46, 13]"
Avilez,4907,Valid,H,,1855-01-01T00:00:00.000,25.0,-103.5,"[25, -103]"
Awere,4910,Valid,L4,,1968-01-01T00:00:00.000,2.71667,32.83333,"[2, 32]"
Aztec,4913,Valid,L6,,1938-01-01T00:00:00.000,36.8,-108.0,"[36, -108]"
Bachmut,4917,Valid,L6,,1814-01-01T00:00:00.000,48.6,38.0,"[48, 38]"
Bahjoi,4922,Valid,"Iron, IAB-sLL",,1934-01-01T00:00:00.000,28.48333,78.5,"[28, 78]"
Bald Mountain,4925,Valid,L4,,1929-01-01T00:00:00.000,35.96667,-82.48333,"[35, -82]"
Baldwyn,4926,Valid,L6,,1922-01-01T00:00:00.000,34.5,-88.66667,"[34, -88]"
Bali,4928,Valid,CV3,,1907-01-01T00:00:00.000,5.38333,16.38333,"[5, 16]"
Ban Rong Du,4934,Valid,"Iron, ungrouped",,1993-01-01T00:00:00.000,16.66667,101.18333,"[16, 101]"
Bandong,4935,Valid,LL6,,1871-01-01T00:00:00.000,-6.91667,107.6,"[-6, 107]"
Bansur,4936,Valid,L6,,1892-01-01T00:00:00.000,27.7,76.33333,"[27, 76]"
Banswal,4937,Valid,L5,,1913-01-01T00:00:00.000,30.4,78.2,"[30, 78]"
Banten,4938,Valid,CM2,,1933-01-01T00:00:00.000,-6.33333,106.0,"[-6, 106]"
Barbotan,4942,Valid,H5,,1790-01-01T00:00:00.000,43.95,-0.05,"[43, 0]"
Barcelona (stone),4944,Valid,OC,,1704-01-01T00:00:00.000,41.36667,2.16667,"[41, 2]"
Barea,4946,Valid,Mesosiderite-A1,,1842-01-01T00:00:00.000,42.38333,-2.5,"[42, -2]"
Barnaul,4947,Valid,H5,,1904-01-01T00:00:00.000,52.73333,84.08333,"[52, 84]"
Barntrup,4948,Valid,LL4,,1886-01-01T00:00:00.000,52.0,9.1,"[52, 9]"
Baroti,4949,Valid,L6,,1910-01-01T00:00:00.000,31.61667,76.8,"[31, 76]"
Barwell,4954,Valid,L5,,1965-01-01T00:00:00.000,52.56528,-1.33972,"[52, -1]"
Bassikounou,44876,Valid,H5,,2006-01-01T00:00:00.000,15.78333,-5.9,"[15, -5]"
Baszkówka,4957,Valid,L5,,1994-01-01T00:00:00.000,52.03333,20.93583,"[52, 20]"
Bath,4974,Valid,H4,,1892-01-01T00:00:00.000,45.41667,-98.31667,"[45, -98]"
Bath Furnace,4975,Valid,L6,,1902-01-01T00:00:00.000,38.25,-83.75,"[38, -83]"
Battle Mountain,56133,Valid,L6,,2012-01-01T00:00:00.000,40.66813,-117.18913,"[40, -117]"
Bawku,4976,Valid,LL5,,1989-01-01T00:00:00.000,11.08333,-0.18333,"[11, 0]"
Baxter,4977,Valid,L6,,1916-01-01T00:00:00.000,36.75,-93.5,"[36, -93]"
Beardsley,4984,Valid,H5,,1929-01-01T00:00:00.000,39.8,-101.2,"[39, -101]"
Beaver Creek,4986,Valid,H5,,1893-01-01T00:00:00.000,51.16667,-117.33333,"[51, -117]"
Beddgelert,4993,Valid,H5,,1949-01-01T00:00:00.000,53.01667,-4.1,"[53, -4]"
Bells,5005,Valid,C2-ung,,1961-01-01T00:00:00.000,33.6,-96.46667,"[33, -96]"
Belville,5009,Valid,OC,,1937-01-01T00:00:00.000,-32.33333,-64.86667,"[-32, -64]"
Benares (a),5011,Valid,LL4,,1798-01-01T00:00:00.000,25.36667,82.91667,"[25, 82]"
Benguerir,30443,Valid,LL6,,2004-01-01T00:00:00.000,32.25,-8.15,"[32, -8]"
Beni M'hira,5018,Valid,L6,,2001-01-01T00:00:00.000,32.86667,10.8,"[32, 10]"
Benld,5021,Valid,H6,,1938-01-01T00:00:00.000,39.08333,-89.15,"[39, -89]"
Benoni,5023,Valid,H6,,1943-01-01T00:00:00.000,-26.16667,28.41667,"[-26, 28]"
Bensour,5024,Valid,LL6,,2002-01-01T00:00:00.000,30.0,-7.0,"[30, -7]"
Benton,5026,Valid,LL6,,1949-01-01T00:00:00.000,45.95,-67.55,"[45, -67]"
Berduc,48975,Valid,L6,,2008-01-01T00:00:00.000,-31.91,-58.32833,"[-31, -58]"
Béréba,5028,Valid,Eucrite-mmict,,1924-01-01T00:00:00.000,11.65,-3.65,"[11, -3]"
Berlanguillas,5029,Valid,L6,,1811-01-01T00:00:00.000,41.68333,-3.8,"[41, -3]"
Berthoud,47355,Valid,Eucrite-mmict,,2004-01-01T00:00:00.000,40.30583,-105.02325,"[40, -105]"
Bethlehem,5032,Valid,H,,1859-01-01T00:00:00.000,42.53333,-73.83333,"[42, -73]"
Beuste,5034,Valid,L5,,1859-01-01T00:00:00.000,43.21667,-0.23333,"[43, 0]"
Beyrout,5035,Valid,LL3.8,,1921-01-01T00:00:00.000,33.88333,35.5,"[33, 35]"
Bhagur,5037,Valid,L6,,1877-01-01T00:00:00.000,20.88333,74.83333,"[20, 74]"
Bhawad,36591,Valid,LL6,,2002-01-01T00:00:00.000,26.50833,73.11528,"[26, 73]"
Bherai,5039,Valid,L6,,1893-01-01T00:00:00.000,20.83333,71.46667,"[20, 71]"
Bhola,5040,Valid,LL3-6,,1940-01-01T00:00:00.000,22.68333,90.65,"[22, 90]"
Bholghati,5041,Valid,Howardite,,1905-01-01T00:00:00.000,22.08333,86.9,"[22, 86]"
Bialystok,5042,Valid,Eucrite-pmict,,1827-01-01T00:00:00.000,53.1,23.2,"[53, 23]"
Bielokrynitschie,5043,Valid,H4,,1887-01-01T00:00:00.000,50.13333,27.16667,"[50, 27]"
Bilanga,5045,Valid,Diogenite,,1999-01-01T00:00:00.000,12.45,-0.08333,"[12, 0]"
Binningup,5051,Valid,H5,,1984-01-01T00:00:00.000,-33.15639,115.67639,"[-33, 115]"
Birni N'konni,5056,Valid,H4,,1923-01-01T00:00:00.000,13.76667,5.3,"[13, 5]"
Bishopville,5059,Valid,Aubrite,,1843-01-01T00:00:00.000,34.16667,-80.28333,"[34, -80]"
Bishunpur,5060,Valid,LL3.15,,1895-01-01T00:00:00.000,25.38333,82.6,"[25, 82]"
Bjelaja Zerkov,5063,Valid,H6,,1796-01-01T00:00:00.000,49.78333,30.16667,"[49, 30]"
Bjurböle,5064,Valid,L/LL4,,1899-01-01T00:00:00.000,60.4,25.8,"[60, 25]"
Black Moshannan Park,5065,Valid,L5,,1941-01-01T00:00:00.000,40.91667,-78.08333,"[40, -78]"
Blackwell,5068,Valid,L5,,1906-01-01T00:00:00.000,36.83333,-97.33333,"[36, -97]"
Blanket,5071,Valid,L6,,1909-01-01T00:00:00.000,31.83333,-98.83333,"[31, -98]"
Blansko,5072,Valid,H6,,1833-01-01T00:00:00.000,49.36667,16.63333,"[49, 16]"
Bloomington,5076,Valid,LL6,,1938-01-01T00:00:00.000,40.48,-89.00417,"[40, -89]"
Bo Xian,5090,Valid,LL3.9,,1977-01-01T00:00:00.000,33.83333,115.83333,"[33, 115]"
Bocas,5093,Valid,L6,,1804-01-01T00:00:00.000,23.0,-102.0,"[23, -102]"
Bogou,5097,Valid,"Iron, IAB-MG",,1962-01-01T00:00:00.000,12.5,0.7,"[12, 0]"
Boguslavka,5098,Valid,"Iron, IIAB",,1916-01-01T00:00:00.000,44.55,131.63333,"[44, 131]"
Borgo San Donino,5110,Valid,LL6,,1808-01-01T00:00:00.000,44.86667,10.05,"[44, 10]"
Bori,5111,Valid,L6,,1894-01-01T00:00:00.000,21.95,78.03333,"[21, 78]"
Boriskino,5112,Valid,CM2,,1930-01-01T00:00:00.000,54.23333,52.48333,"[54, 52]"
Borkut,5113,Valid,L5,,1852-01-01T00:00:00.000,48.15,24.28333,"[48, 24]"
Borodino,5114,Valid,H5,,1812-01-01T00:00:00.000,55.46667,35.86667,"[55, 35]"
Botschetschki,5117,Valid,L4,,1823-01-01T00:00:00.000,51.33333,33.88333,"[51, 33]"
Boumdeid (2003),57168,Valid,L6,,2003-01-01T00:00:00.000,17.71067,-11.3715,"[17, -11]"
Boumdeid (2011),57167,Valid,L6,,2011-01-01T00:00:00.000,17.17493,-11.34133,"[17, -11]"
Bovedy,5121,Valid,L3,,1969-01-01T00:00:00.000,54.56667,-6.33333,"[54, -6]"
Bradford Woods,5128,Valid,L,,1886-01-01T00:00:00.000,40.5,-80.08333,"[40, -80]"
Braunau,5133,Valid,"Iron, IIAB",,1847-01-01T00:00:00.000,50.6,16.3,"[50, 16]"
Breitscheid,5134,Valid,H5,,1956-01-01T00:00:00.000,50.66694,8.18361,"[50, 8]"
Bremervörde,5135,Valid,H/L3.9,,1855-01-01T00:00:00.000,53.4,9.1,"[53, 9]"
Brient,5140,Valid,Eucrite-pmict,,1933-01-01T00:00:00.000,52.13333,59.31667,"[52, 59]"
Bruderheim,5156,Valid,L6,,1960-01-01T00:00:00.000,53.9,-112.88333,"[53, -112]"
Bukhara,30448,Valid,CV3,,2001-01-01T00:00:00.000,39.77978,64.60035,"[39, 64]"
Bulls Run,5163,Valid,Iron?,,1964-01-01T00:00:00.000,,,"[None, None]"
Bunburra Rockhole,48653,Valid,Eucrite,,2007-01-01T00:00:00.000,-31.35,129.19,"[-31, 129]"
Bununu,5165,Valid,Howardite,,1942-01-01T00:00:00.000,10.01667,9.58333,"[10, 9]"
Bur-Gheluai,5169,Valid,H5,,1919-01-01T00:00:00.000,5.0,48.0,"[5, 48]"
Burnwell,5175,Valid,H4-an,,1990-01-01T00:00:00.000,37.62194,-82.23722,"[37, -82]"
Bursa,5177,Valid,L6,,1946-01-01T00:00:00.000,40.2,29.23333,"[40, 29]"
Buschhof,5178,Valid,L6,,1863-01-01T00:00:00.000,46.45,25.78333,"[46, 25]"
Bustee,5181,Valid,Aubrite,,1852-01-01T00:00:00.000,26.78333,82.83333,"[26, 82]"
Butsura,5183,Valid,H6,,1861-01-01T00:00:00.000,27.08333,84.08333,"[27, 84]"
Buzzard Coulee,48654,Valid,H4,,2008-01-01T00:00:00.000,52.996,-109.84817,"[52, -109]"
Cabezo de Mayo,5185,Valid,L/LL6,,1870-01-01T00:00:00.000,37.98333,-1.16667,"[37, -1]"
Cabin Creek,5186,Valid,"Iron, IIIAB",,1886-01-01T00:00:00.000,35.5,-93.5,"[35, -93]"
Cacak,5187,Valid,OC,,1919-01-01T00:00:00.000,43.83889,20.33333,"[43, 20]"
Cali,45976,Valid,H/L4,,2007-01-01T00:00:00.000,3.405,-76.51,"[3, -76]"
Calivo,5200,Valid,Stone-uncl,,1916-01-01T00:00:00.000,11.75,122.33333,"[11, 122]"
Campos Sales,5249,Valid,L5,,1991-01-01T00:00:00.000,-7.03333,-40.16667,"[-7, -40]"
Çanakkale,5250,Valid,L6,,1964-01-01T00:00:00.000,39.8,26.6,"[39, 26]"
Cañellas,5251,Valid,H4,,1861-01-01T00:00:00.000,41.25,1.66667,"[41, 1]"
Cangas de Onis,5252,Valid,H5,,1866-01-01T00:00:00.000,43.38333,-5.15,"[43, -5]"
Canon City,5253,Valid,H6,,1973-01-01T00:00:00.000,38.47028,-105.24139,"[38, -105]"
Cape Girardeau,5260,Valid,H6,,1846-01-01T00:00:00.000,37.26667,-89.58333,"[37, -89]"
Capilla del Monte,5264,Valid,H6,,1934-01-01T00:00:00.000,-30.88333,-64.55,"[-30, -64]"
Carancas,45817,Valid,H4-5,,2007-01-01T00:00:00.000,-16.66444,-69.04389,"[-16, -69]"
Caratash,5265,Valid,LL6,,1902-01-01T00:00:00.000,38.5,27.0,"[38, 27]"
Castalia,5291,Valid,H5,,1874-01-01T00:00:00.000,36.08333,-78.06667,"[36, -78]"
Castel Berardenga,5292,Valid,Stone-uncl,,1791-01-01T00:00:00.000,43.35,11.5,"[43, 11]"
Castine,5293,Valid,L6,,1848-01-01T00:00:00.000,44.38333,-68.75,"[44, -68]"
Castrovillari,5295,Valid,Stone-uncl,,1583-01-01T00:00:00.000,39.8,16.2,"[39, 16]"
Caswell County,5296,Valid,OC,,1810-01-01T00:00:00.000,36.5,-79.25,"[36, -79]"
Ceniceros,5306,Valid,L3.7,,1988-01-01T00:00:00.000,26.46667,-105.23333,"[26, -105]"
Centerville,5307,Valid,H5,,1956-01-01T00:00:00.000,43.2,-96.91667,"[43, -96]"
Cereseto,5308,Valid,H5,,1840-01-01T00:00:00.000,45.08333,8.3,"[45, 8]"
Chadong,5313,Valid,L6,,1998-01-01T00:00:00.000,28.53333,109.31667,"[28, 109]"
Chail,5314,Valid,H6,,1814-01-01T00:00:00.000,25.36667,81.66667,"[25, 81]"
Chainpur,5315,Valid,LL3.4,,1907-01-01T00:00:00.000,25.85,83.48333,"[25, 83]"
Chajari,5316,Valid,L5,,1933-01-01T00:00:00.000,-30.78333,-58.05,"[-30, -58]"
Chandakapur,5320,Valid,L5,,1838-01-01T00:00:00.000,20.26667,76.01667,"[20, 76]"
Chandpur,5321,Valid,L6,,1885-01-01T00:00:00.000,27.28333,79.05,"[27, 79]"
Changde,5322,Valid,H5,,1977-01-01T00:00:00.000,29.08333,111.75,"[29, 111]"
Chantonnay,5325,Valid,L6,,1812-01-01T00:00:00.000,46.68333,1.05,"[46, 1]"
Charlotte,5328,Valid,"Iron, IVA",,1835-01-01T00:00:00.000,36.16667,-87.33333,"[36, -87]"
Charsonville,5329,Valid,H6,,1810-01-01T00:00:00.000,47.93333,1.56667,"[47, 1]"
Charwallas,5330,Valid,H6,,1834-01-01T00:00:00.000,29.48333,75.5,"[29, 75]"
Chassigny,5331,Valid,Martian (chassignite),,1815-01-01T00:00:00.000,47.71667,5.36667,"[47, 5]"
Château-Renard,5332,Valid,L6,,1841-01-01T00:00:00.000,47.93333,2.91667,"[47, 2]"
Chaves,5334,Valid,Howardite,,1925-01-01T00:00:00.000,41.93333,-7.46667,"[41, -7]"
Chela,5338,Valid,H4,,1988-01-01T00:00:00.000,-3.66667,32.5,"[-3, 32]"
Chelyabinsk,57165,Valid,LL5,,2013-01-01T00:00:00.000,54.81667,61.11667,"[54, 61]"
Chergach ,47347,Valid,H5,,2007-01-01T00:00:00.000,23.69639,-5.01472,"[23, -5]"
Chernyi Bor,5339,Valid,H4,,1964-01-01T00:00:00.000,53.7,30.1,"[53, 30]"
Cherokee Springs,5340,Valid,LL6,,1933-01-01T00:00:00.000,35.03333,-81.88333,"[35, -81]"
Chervettaz,5341,Valid,L5,,1901-01-01T00:00:00.000,46.55,6.81667,"[46, 6]"
Chervony Kut,5342,Valid,Eucrite-mmict,,1939-01-01T00:00:00.000,50.83333,34.0,"[50, 34]"
Chetrinahatti,5344,Valid,Stone-uncl,,1880-01-01T00:00:00.000,14.5,76.5,"[14, 76]"
Chiang Khan,5345,Valid,H6,,1981-01-01T00:00:00.000,17.9,101.63333,"[17, 101]"
Chicora,5349,Valid,LL6,,1938-01-01T00:00:00.000,40.93333,-79.73333,"[40, -79]"
Chisenga,5355,Valid,"Iron, IIIAB",,1988-01-01T00:00:00.000,-10.05944,33.395,"[-10, 33]"
Chitado,5356,Valid,L6,,1966-01-01T00:00:00.000,-17.35,13.96667,"[-17, 13]"
Chitenay,5357,Valid,L6,,1978-01-01T00:00:00.000,47.47083,0.97667,"[47, 0]"
Cilimus,5364,Valid,L5,,1979-01-01T00:00:00.000,-6.95,108.1,"[-6, 108]"
Claxton,5374,Valid,L6,,1984-01-01T00:00:00.000,32.1025,-81.87278,"[32, -81]"
Clohars,5383,Valid,L4,,1822-01-01T00:00:00.000,,,"[None, None]"
Colby (Wisconsin),5395,Valid,L6,,1917-01-01T00:00:00.000,44.9,-90.28333,"[44, -90]"
Cold Bokkeveld,5397,Valid,CM2,,1838-01-01T00:00:00.000,-33.13333,19.38333,"[-33, 19]"
Coleman,5401,Valid,L6,,1994-01-01T00:00:00.000,43.76111,-84.50778,"[43, -84]"
Collescipoli,5403,Valid,H5,,1890-01-01T00:00:00.000,42.53333,12.61667,"[42, 12]"
Conquista,5418,Valid,H4,,1965-01-01T00:00:00.000,-19.85,-47.55,"[-19, -47]"
Cosina,5451,Valid,H5,,1844-01-01T00:00:00.000,21.16667,-100.86667,"[21, -100]"
Cranganore,5465,Valid,L6,,1917-01-01T00:00:00.000,10.2,76.26667,"[10, 76]"
Crescent,5470,Valid,CM2,,1936-01-01T00:00:00.000,35.95,-97.58333,"[35, -97]"
Cronstad,5474,Valid,H5,,1877-01-01T00:00:00.000,-27.7,27.3,"[-27, 27]"
Cross Roads,5476,Valid,H5,,1892-01-01T00:00:00.000,35.63333,-78.13333,"[35, -78]"
Crumlin,5477,Valid,L5,,1902-01-01T00:00:00.000,54.61667,-6.21667,"[54, -6]"
Cumberland Falls,5496,Valid,Aubrite,,1919-01-01T00:00:00.000,36.83333,-84.35,"[36, -84]"
Cynthiana,5500,Valid,L/LL4,,1877-01-01T00:00:00.000,38.4,-84.25,"[38, -84]"
Dahmani,5504,Valid,LL6,,1981-01-01T00:00:00.000,35.61667,8.83333,"[35, 8]"
Dandapur,5511,Valid,L6,,1878-01-01T00:00:00.000,26.91667,83.96667,"[26, 83]"
Daniel's Kuil,5513,Valid,EL6,,1868-01-01T00:00:00.000,-28.2,24.56667,"[-28, 24]"
Danville,5514,Valid,L6,,1868-01-01T00:00:00.000,34.4,-87.06667,"[34, -87]"
Darmstadt,6603,Valid,H5,,1804-01-01T00:00:00.000,49.86667,8.65,"[49, 8]"
Dashoguz,6604,Valid,H5,,1998-01-01T00:00:00.000,41.98444,59.685,"[41, 59]"
Daule,51559,Valid,L5,,2008-01-01T00:00:00.000,-1.87089,-79.95756,"[-1, -79]"
De Cewsville,6621,Valid,H6,,1887-01-01T00:00:00.000,43.0,-80.0,"[43, -80]"
Deal,6634,Valid,L6,,1829-01-01T00:00:00.000,40.25,-74.0,"[40, -74]"
Delhi,6642,Valid,L5,,1897-01-01T00:00:00.000,28.56667,77.25,"[28, 77]"
Demina,6649,Valid,L6,,1911-01-01T00:00:00.000,51.46667,84.76667,"[51, 84]"
Denver,6660,Valid,L6,,1967-01-01T00:00:00.000,39.7825,-104.93056,"[39, -104]"
Dergaon,6664,Valid,H5,,2001-01-01T00:00:00.000,26.68333,93.86667,"[26, 93]"
Desuri,6693,Valid,H6,,1962-01-01T00:00:00.000,25.73333,73.61667,"[25, 73]"
Devgaon,6694,Valid,H3.8,,2001-01-01T00:00:00.000,19.0,81.0,"[19, 81]"
Devri-Khera,6696,Valid,L6,,1994-01-01T00:00:00.000,24.225,76.525,"[24, 76]"
Dhajala,6698,Valid,H3.8,,1976-01-01T00:00:00.000,22.37778,71.42722,"[22, 71]"
Dharwar,6699,Valid,OC,,1848-01-01T00:00:00.000,14.88333,75.6,"[14, 75]"
Dhurmsala,7640,Valid,LL6,,1860-01-01T00:00:00.000,32.23333,76.46667,"[32, 76]"
Didim,47350,Valid,H3-5,,2007-01-01T00:00:00.000,37.35172,27.32997,"[37, 27]"
Diep River,7642,Valid,L6,,1906-01-01T00:00:00.000,-33.75,18.56667,"[-33, 18]"
Distrito Quebracho,7649,Valid,H4,,1957-01-01T00:00:00.000,-31.88333,-60.46667,"[-31, -60]"
Djati-Pengilon,7652,Valid,H6,,1884-01-01T00:00:00.000,-7.5,111.5,"[-7, 111]"
Djermaia,7656,Valid,H,,1961-01-01T00:00:00.000,12.73333,15.05,"[12, 15]"
Djoumine,7657,Valid,H5-6,,1999-01-01T00:00:00.000,36.95,9.55,"[36, 9]"
Dokachi,7658,Valid,H5,,1903-01-01T00:00:00.000,23.5,90.33333,"[23, 90]"
Dolgovoli,7659,Valid,L6,,1864-01-01T00:00:00.000,50.75,25.3,"[50, 25]"
Domanitch,7661,Valid,L5,,1907-01-01T00:00:00.000,40.0,29.0,"[40, 29]"
